text,true,pred,prob
at the disaster research unit we follow close the development of the emergency in,time_critical,non_informative,0.6579547
in a warming world storms may be fewer but stronger,time_critical,non_informative,0.5622187
what the country and the world have witnessed this week is the spirit of missouri mo gov jay ni n,time_critical,non_informative,0.9337347
irma i almost died vlog watch now,time_critical,non_informative,0.9980563
colorado governor lifts statewide fire ban much needed rain and forecasts predi,time_critical,non_informative,0.7706311
govt to move from yemen amp gt the government has said it will evacuate tanzanian nationals still stuck in war,time_critical,support_and_relief,0.5291096
all my players to the incident people family and children in syria stop the blood bath,time_critical,non_informative,0.9456256
over people in evacuation centres after our appeal to provide humanitarian aid,time_critical,support_and_relief,0.7567184
un eyes are blinded when it comes children blood but it sees money very clearly,time_critical,non_informative,0.95737034
thinking of friends evacuated along western cost of south america hoping warning will end same way as,time_critical,non_informative,0.9653138
tornado heading our way i just want to say i love you all,time_critical,non_informative,0.66317564
pls our warehouse caretaker in roda compound concepcion uno brgy tumana is alone on the,time_critical,support_and_relief,0.6388694
your life is in danger if you can self do so before night fall if you can t place whi,time_critical,non_informative,0.9234613
it s been more than hours now i wonder how many of the trapped people are alive in the nepal earthquake,time_critical,non_informative,0.89734125
video cctv captures violent,time_critical,non_informative,0.98500156
some colour amidst devastation karina arranges flowers for evac centre after devastated her village,time_critical,support_and_relief,0.99229264
nukufetau under seawater by from people in tuvalu stay safe,time_critical,non_informative,0.7269896
for this purpose pmi banten sent a number of power generator sets to the location,time_critical,support_and_relief,0.9965585
petition factory collapse ensure safety amp compensate victims,time_critical,support_and_relief,0.9716883
hey no service in boyne tannum qld too wet and windy,time_critical,non_informative,0.99689364
is masbata but no reports spoke with friends in where situation is manageable e loring ways to visit,time_critical,support_and_relief,0.9197299
money mentors reaffirms its services and advises alberta flood victims,time_critical,support_and_relief,0.99492407
alberta government protecting consumers during rebuilding,time_critical,non_informative,0.56366074
people needing help may text at please retweet via,time_critical,support_and_relief,0.7689131
if you are having trouble with rfs website check or,time_critical,non_informative,0.8922811
humanitarian needs will be enormous many people have lost their homes shelter food and water urgent priorities _,time_critical,support_and_relief,0.97664934
leaves logjam of cargo cruise ships at galveston port,time_critical,non_informative,0.6661622
residents of kathmandu camped out under tarps for fear of aftershocks,time_critical,support_and_relief,0.92800957
how many fertilizer plants are there in texas,time_critical,non_informative,0.99589455
first photos of tsa agents at are appearing,time_critical,non_informative,0.9610252
this is mcleod trail omg,time_critical,non_informative,0.91920674
glad to hear that my family in cabo is safe amp only had to deal with minor damages during the hurricane these last days,time_critical,non_informative,0.9249452
aid groups desperate to communicate effectively with million rohingya refugees,time_critical,support_and_relief,0.726555
watching the news keep safe tonight everyone if you know you re in a heightened alert area take necessary safety pre,time_critical,non_informative,0.9213188
mexicans shed tears for hundreds killed in see more gt gt,time_critical,non_informative,0.6258548
part of a series one of the first few pictures that came out of a devastated_,time_critical,non_informative,0.98801243
if isis wants a war i ll bring them a war,time_critical,non_informative,0.9992488
the country s worst post world war ii disaster was compounded by reactor meltdowns at the fukushima nuclear power plant which sent tens of thousands of people fleeing from radiation,time_critical,support_and_relief,0.9708938
my father telling me barstaff and customers didn t run away but formed a human chain to pass out the injured,time_critical,support_and_relief,0.84207857
harvey terror heartbreak and heroism as five houstonians brave americas worststorm,time_critical,non_informative,0.56422746
e lained here s why the russian meteor packed such a big punch technobuffalo,time_critical,non_informative,0.9966738
is there anyway you can post his pic so someone may find him in nepal im his daughter living in md,time_critical,non_informative,0.99878246
distance is arbitrary connection is the true state of being death toll is now let s keep focus this,time_critical,non_informative,0.9731791
by the person who found it mad pam gellar,time_critical,non_informative,0.9948258
napa earthquake we will rebuild,time_critical,support_and_relief,0.9570039
over people dead pray for jordan too,time_critical,non_informative,0.9896283
dec pm american time i guess naga city to manila latest jtwc forecast track,time_critical,non_informative,0.8879955
infrastructure and transport projects assist the brr to coordinate the entire post tsunami infrastructure portfolio,time_critical,support_and_relief,0.90484667
nepal rescuers struggle to reach quake victims via,time_critical,support_and_relief,0.9273693
are you ok cause there s a huge fire in colorado springs and i know you live there so yeah,time_critical,non_informative,0.87481844
bed weather stay dry everyone,time_critical,non_informative,0.9961738
sending our thoughts amp rayers people of amp in nepal trying to find out if razon miah amp family amp narayan khatri amp family ok,time_critical,non_informative,0.9945258
haven t heard much about the homeless during glad is looking out for them tonight,time_critical,non_informative,0.9955577
watch till pm cdt saint louis city county jefferson st charles franklin lincoln pike warren montgomery counties,time_critical,non_informative,0.98113877
photo after the shaky at,time_critical,non_informative,0.7285898
saturday families in need due to via,time_critical,support_and_relief,0.7912569
our thoughts are with all of our baja friends this week as they begin to survey the extensive damage from hurricane odile,time_critical,non_informative,0.96335816
is trending whut stay safe guys,time_critical,non_informative,0.9988668
one of two missing canoeists found dead in northern alberta river,time_critical,non_informative,0.6859
approximately my vilage named dhikure is km far from the capital city of kathmandu unfortunetly hey god no,time_critical,non_informative,0.643475
palaus jellyfish lake closed until further notice following typhoon bopha oceania television netw,time_critical,non_informative,0.7928377
is having a tough heavy flow,time_critical,non_informative,0.9970818
h after landfall amp hagupit still hasn t moved from samar one of the poorest amp most landslide prone regions in ph,time_critical,non_informative,0.96532816
as the winter nears whether people could get through the cold season safely when the millions of collapsed houses could be rebuilt and whether the frequent secondary disasters could be prevented are problems governments have to face,time_critical,support_and_relief,0.7563471
residents start fleeing to the hills in quinapondan eastern samar,time_critical,support_and_relief,0.9283835
fees waived at landfill for hurricane irma debris more info gt gt gt,time_critical,support_and_relief,0.9836037
\n\ncrazy storm with tornadoes in plano texas,time_critical,non_informative,0.654729
carriers waiving fees for areas affected by hurricane harvey,time_critical,support_and_relief,0.9948179
v people registered into storm shelters as braces for typhoon,time_critical,support_and_relief,0.8731044
mt stood outside the scotia crowd here of about some v worried ppl arriving to meet friends who were inside,time_critical,non_informative,0.96480346
fios s juliette fernandez spoke with islip town supervisor angie carpenter clearing roads in suffolk county,time_critical,non_informative,0.8597993
gay families retrieved from nepal quake zone northern ireland rejects gay marriage again supreme court begins,time_critical,non_informative,0.9764559
nfl browns fear wr corey coleman broke his hand via tw,time_critical,non_informative,0.9972662
disaster assistance if you ve sustained losses or damages due to the call fema,time_critical,support_and_relief,0.99222845
another shot of the cricket at a full pitch view photographer,time_critical,non_informative,0.9981797
meet mr jeff our official grapefruit tree he survived hurricane irma and is blooming stronger than ever,time_critical,non_informative,0.75130683
care staff remains on high alert in after in remote baluchistan province,time_critical,support_and_relief,0.85352045
sums it up in one pic submerged car hpd high water rescue kayaker,time_critical,support_and_relief,0.7649017
don t worry i m safe,time_critical,non_informative,0.9992009
india assisted in evacuation of nationals frm countries frm nepal via commrcial amp iaf aircraft h_,time_critical,support_and_relief,0.8883535
since when it became racist to say isreal is a terrorist state and idf are a bunch of terrorists just like isis,time_critical,non_informative,0.99898094
private sector work suspension is at the discretion of companies call your hr for info,time_critical,non_informative,0.68517476
beginning to feel here,time_critical,non_informative,0.999065
is sending buses today for evacuation in nepal more buses will be sent as demand arises,time_critical,support_and_relief,0.9904839
hope yyc fire department and ems requested larger twitter traffic limit future emrgnc,time_critical,non_informative,0.99500424
finally have power,time_critical,non_informative,0.9779357
a glimpse at how facebook satety check works,time_critical,non_informative,0.9980628
the ccrif is also considering developing an insurance programme for electric utilities in the region to guard against wind damage and an insurance scheme that would allow governments to cover farmers against crop damage caused by weather related disasters,time_critical,support_and_relief,0.99814165
\ndevastating my village lower dir \nmay allah give patience to the affected en na infrastructure_and_utilities_damage _philippines_typhoon hagupit crisisnlp volunteers classes in all levels in makati are suspended tomorrow dec makati spokesman joey salgado en na not_humanitarian hurricane_maria crisismmd an update from about disaster relief in response to en na donation_and_volunteering hurricane_irma crisismmd collier lee residents struggle to find normality a week after hurricane irma en na affected_individual _boston_bombings ontopic crisislext don t give up on me baby en not_humanitarian disaster_events aidr_system attack on yemen lng plant will lead to major firefight warns ex commando,time_critical,non_informative,0.3768007
information for vulnerable customers especially during from,time_critical,support_and_relief,0.4862194
please share this one pallies,time_critical,support_and_relief,0.8122318
anyone wanting to do some go and save drowning people from the floods in and that s jihad,time_critical,support_and_relief,0.97756106
