text,true,pred,prob
in say indian authorities left them unattended,non_informative,time_critical,0.82495844
fco warns against all but essential travel to nepal,support_and_relief,time_critical,0.9327665
mexico city earthquake should raise questions about building safety,non_informative,time_critical,0.9589339
hurricane irma evacuees seek refuge in the mountains,support_and_relief,time_critical,0.9950003
none of our patients in injured in typhoon but operating theatre is out of action,non_informative,time_critical,0.90276986
apples all sandbagged up apple store,non_informative,time_critical,0.5255973
signal antique iloilo rest of cebu and bohol dinagat province and siargao island of,support_and_relief,time_critical,0.6260269
just a warning if you have a car go out gas in because gas stations are starting to run out,non_informative,time_critical,0.9913049
they battled harvey now texas dreamers face daca s possible demise,non_informative,time_critical,0.8769155
powerful cyclone winston heading for fiji wind speeds of mph reported met office,non_informative,time_critical,0.94831985
at least dead over million forced into shelters typhoon is yet another reminder that we have no,non_informative,time_critical,0.9365423
psa drexel university will be closed monday and tuesday due to hurricane,non_informative,time_critical,0.98766065
commentary of the week gulf coast takes a hit from harvey,non_informative,time_critical,0.8675694
pm at urges us to stop using armed in pakistan which results in casualties of innocent civilia,non_informative,time_critical,0.8850603
massive fire erupts at refinery in,non_informative,time_critical,0.9983108
waco e losion dispatch people trapped in the fire i need anybody and everybody you can send,support_and_relief,time_critical,0.92645234
waterfront in the sense that the back lawn is completely flooded,non_informative,time_critical,0.97148603
thousands of americans and mexicans in danger in baja after without emergency services and water please help,support_and_relief,time_critical,0.9525599
children in borewell landslide arson unrest floods earthquake riots elections border conflict call the army soldiers welfare what army,non_informative,time_critical,0.9814563
after hrs power is back in thank you,non_informative,time_critical,0.9657079
wind is still here but not as bad as yesterday did not lose power,non_informative,time_critical,0.5380009
flight at logan evacuated what now,non_informative,time_critical,0.98593026
nepal s key historic sites what s rubble what s still standing,non_informative,time_critical,0.96246123
more than people were killed last sunday when two suicide bombers attacked a church in peshawar,non_informative,time_critical,0.99440527
days after hurricane maria rrt wilson finally get a day to relax,non_informative,time_critical,0.8958362
wow bangladesh rescuers confirm they have freed survivor of building collapse after days,support_and_relief,time_critical,0.99747735
philippines shuts capital in response to tropical storm hagupit offices and schools remained closed in the ph,non_informative,time_critical,0.9263021
inmate returning to keys after irma evacuation leaps from the van,support_and_relief,time_critical,0.84086895
rescued about persons via helicopters defence secretary,support_and_relief,time_critical,0.9303362
fort lauderdale fl airport chaos irma preps lake worth fl,non_informative,time_critical,0.9873356
wild vid e losion at end caused blackout south of th video of the coned power plant blowing out starts at,non_informative,time_critical,0.997959
severe flooding in our teams assessing the situation today,support_and_relief,time_critical,0.9844742
iafs c j super hercules has just landed at kmandu carrying ndrf personnel amp tonnes of load theindiansubconti_,support_and_relief,time_critical,0.5635307
reuters snow blankets washington d c in potentially record setting storm,non_informative,time_critical,0.97571623
mellisa h perry of msnbc mentioned how the klan of missouri has set up a defense fund for the cop who killed michael brown,non_informative,time_critical,0.74365985
mt water distribution to start at am tomorrow stagecoach rd mvfr s new admin bldg,support_and_relief,time_critical,0.95763624
