text,true,pred,prob
staff at our feeding centre say chronic malnourishment can cause long term developmental damage and is often difficult to spot in afghanistan because while children s faces may look reasonably healthy their bodies are wasting away,support_and_relief,support_and_relief,0.9989374
you comin down for the summer semesters right,non_informative,non_informative,0.99930775
yea it s upstate i m like a few hours away,non_informative,non_informative,0.99936754
teach every pakistani that it is not enough to solve our own personal problems country s problems are our problems too h,non_informative,non_informative,0.9950606
all the details on the tourism minister s whirlwind trip to and the at pm,non_informative,non_informative,0.9957074
the french emergency response unit is active along the northeast coast providing water to idps in camps in samalanga,support_and_relief,support_and_relief,0.9990446
in killinochchi oxfam will start a campaign to get public support to construct compost toilets in villages,support_and_relief,support_and_relief,0.9967415
that s subjective lol usually i d argue the most morally sound people,non_informative,non_informative,0.9992655
the dm i sent oomf,non_informative,non_informative,0.9923052
i hope you re okay,non_informative,non_informative,0.98598856
please retweet clean water for nepal follow this link,support_and_relief,support_and_relief,0.52445924
spring has finally sprung dropping boys at lax gillette stadium jealous they are going on pats field,non_informative,non_informative,0.9985934
if only we could transform all the haze in singapore to cold fresh mist ahhh that would be amazing,non_informative,non_informative,0.9981651
elon musk tesla can help fix puerto rico s ruined electrical grid,support_and_relief,support_and_relief,0.9763905
now playing sprague brothers battle of the bands from let the chicks fall where they may,non_informative,non_informative,0.99940336
get me the fuck out of this city,non_informative,non_informative,0.9987074
turks in texas care f turkish americans continue helping those who were affected by f,support_and_relief,support_and_relief,0.988451
we have no food or water please come to carrefour save us,support_and_relief,support_and_relief,0.99914026
so glad you are safe and sound,non_informative,non_informative,0.9864682
thoughts amp prayers for lac mgantic dead still missing,non_informative,non_informative,0.9203537
first tree down clinton hill brooklyn,non_informative,non_informative,0.9983236
is the sharks in new jersey for real or a hoax,non_informative,non_informative,0.99922776
every song somehow reminds me of you,non_informative,non_informative,0.9994803
in the road ducoste behind the plaza there are about people who don t have water or food please help them,support_and_relief,support_and_relief,0.9991339
typhoon hagupit singapore red cross deploys team donates over us bernama,support_and_relief,support_and_relief,0.9814957
rockaway has been devastated and is in dire need of assistance with first aid supplies and basic necessities,support_and_relief,support_and_relief,0.99823004
datelines episode rebuilding nepal airs tonight on sbs at pm long road to recovery,non_informative,non_informative,0.9971462
i be omw when my pop corn is done ill be at the bank like get this cash off me,non_informative,non_informative,0.99950564
i don t know what to say,non_informative,non_informative,0.99829894
offsides in hockey is like offsides in soccer icing is more like cherry picking,non_informative,non_informative,0.99935013
calls off earthquake rescue shifts to providing aid for thousands left homeless,support_and_relief,support_and_relief,0.97589964
haha very good didn t click to what you were on about,non_informative,non_informative,0.9994592
ima start telling these girls to bring them so food when they come over my house cause everytime we smoke she always in my damn kitchen lol,non_informative,non_informative,0.99936265
you are both in melbourne and r both wogs si created wogs out of work you should meet,non_informative,non_informative,0.9987495
a much needed roomie night out,non_informative,non_informative,0.999495
if miley cyrus vs selena gomez is happening miley is gonna win by a landslide lol selena doesn t have a chance,non_informative,non_informative,0.99942976
so many diapers i fucking love my city lakeview community hall,non_informative,non_informative,0.99762964
im getting really nervous,non_informative,non_informative,0.998808
as new ladies black heels shoes size robina,non_informative,non_informative,0.99936634
and we really don t have time to discuss it axlon interrupted i ve alerted the mechanics to start the mark,non_informative,non_informative,0.99882144
please we need help at the altidor center at thomassin,support_and_relief,support_and_relief,0.9976388
perkins funny as hell man i miss him,non_informative,non_informative,0.99948525
is making me a yummy southern dinner nomz,non_informative,non_informative,0.9995394
apparently it depends who you re seeing the movie with i suppose,non_informative,non_informative,0.9994861
so proud of sight members who defended global health honors theses this week simar robert alex jolene stephanie,non_informative,non_informative,0.99617
now downgraded to a tropical storm good to hear but still make sure you stay safe don t go out if you don t need to,non_informative,non_informative,0.6784338
that made no sense please leave,non_informative,non_informative,0.99865925
a toyota corolla was just scanned near oakdale ny,non_informative,non_informative,0.9970379
are you home are you okay,non_informative,non_informative,0.99017674
there is no ipc protocol at all for ios right now zero at the moment any inter app is done purely via urls,non_informative,non_informative,0.9987451
sweet anniversaire _,non_informative,non_informative,0.9987968
i hope you guys have reached sindhupalchowk good luck,support_and_relief,non_informative,0.9907348
always take care,non_informative,non_informative,0.99744534
i got every reason to feel like i m that bitch,non_informative,non_informative,0.99942774
take care po ate mariz,non_informative,non_informative,0.9979809
help digi we are so hungry in jacmel not everybody fond food to eat send me a card please,support_and_relief,support_and_relief,0.9991999
pleas bring these supplies everything will be donated to those impacted by hurricane harvey,support_and_relief,support_and_relief,0.99829775
whoa really low flying helicopter just flew over in jp,non_informative,non_informative,0.6707701
i could tell you was into from my instant chemistry,non_informative,non_informative,0.99955326
those who excel in it seldom excel in anything else but excuses,non_informative,non_informative,0.99908376
spca of texas in need of financial donations and foster volunteers,support_and_relief,support_and_relief,0.9898197
we are in laine du culd de sac and no one come to give us aid,support_and_relief,support_and_relief,0.9990307
was so worried for the families of my philipino friends because of hurricane hagupit but apparently it is not as severe as first e ected,non_informative,non_informative,0.9943453
police officers everywhere wielding guns if i start crying alone in the airport do u think i ll still have to fly,non_informative,non_informative,0.99870384
fools garden yellow tree,non_informative,non_informative,0.99936885
loads of fresh scented clean laundry hip glasses and gift totes for the neighbors,non_informative,support_and_relief,0.99673295
found this and pissed myself lol you look so cheeky and i m like you shouldn t be doing that,non_informative,non_informative,0.99952364
it has to be stopped soon,non_informative,non_informative,0.9984322
glad that profile left me alone,non_informative,non_informative,0.9994319
well if i have to choose sides it will always be potato salad,non_informative,non_informative,0.9993808
can t complain about a thing in my life right now when i think about nepal so heartbreaking i am so fortunate and shouldn t forget that,non_informative,non_informative,0.99869245
gonna post a couple of pics i got of heffrondrive from last night is that cool batcave,non_informative,non_informative,0.9993349
yeah be careful with that,non_informative,non_informative,0.99714535
i will admit i do really enjoy my twitter time with you and all of the other you folks are the best,non_informative,non_informative,0.9995352
y and y typhoon hagupit evacuation steps up,non_informative,non_informative,0.9475442
look how pretty our new yard waste bags arrive screw you,non_informative,non_informative,0.99661285
were safe,non_informative,non_informative,0.9843127
prayers for you arkansas,non_informative,non_informative,0.9965339
yeah based in cairns live at edge hill if your in cairns let me know no shortage of beer in fnq lol,non_informative,non_informative,0.99930286
come on guys i don t even be going to church like that but even i know that god will not make you a painful death when he takes,non_informative,non_informative,0.9994487
food is critically short in dhaka and other parts of the country with rice being sold at exhorbitant prices,support_and_relief,support_and_relief,0.99874216
uttar pradesh government offers help for quake hit nepal uttar pradesh government has_,support_and_relief,support_and_relief,0.88507664
president push back when it comes to puerto rico,non_informative,non_informative,0.99719316
call the office to see if he is there,non_informative,non_informative,0.997917
will be broke in paying b loan but shines\n\n,support_and_relief,non_informative,0.9992976
i m at rochedale state high school rochedale qld,non_informative,non_informative,0.9991768
the filipino spirit is there keep the faith and trust god,non_informative,non_informative,0.9988751
dia it s baylor s biggest party day of the year,non_informative,non_informative,0.99898034
omg i wish you got a photo haha,non_informative,non_informative,0.99939966
on may there s going to be a marathon here called run or dye i was gonna go then boston and the name is just asking for it,non_informative,non_informative,0.9990752
nepal official blasts qatar for not letting world cup workers go home for earthquake funerals thinkprogress,non_informative,non_informative,0.9913238
tech companies helping out hurricane damaged puerto rico lt,support_and_relief,support_and_relief,0.9952289
there s so many cute puppies at the humane society in waco like i just want to adopt all of them,non_informative,non_informative,0.88707745
wfp is providing food logistics and telecoms support to families affected by,support_and_relief,support_and_relief,0.9974788
movie sucked but hey my night didn t,non_informative,non_informative,0.99944407
for tha love of money,non_informative,non_informative,0.9994456
such a good gesture,non_informative,non_informative,0.9729591
my of the day frank mckeown who captained stranraer at clyde after working till am at the helicopter,support_and_relief,non_informative,0.9962704
attempt number one to go to bed epic failure two hours later i m trying again wish me luck alarm clock set for am see you in hours,non_informative,non_informative,0.99871933
pk des she wants the det non des he wants the v tweet smh,non_informative,non_informative,0.99925023
villagers of lad na pieng had reportedly been spending around baht per day on average buying water therefore they decided to join hands with the province s waterworks authority in digging two wells,support_and_relief,support_and_relief,0.9985984
i made a few crazies mad yesterday gun control is as absurd to me as tornado control is to you that was the point sorry but not sorry,non_informative,non_informative,0.99923396
drinking a hemel amp hel heaven amp hell by at,non_informative,non_informative,0.99923396
sure do that i better stop the party then,non_informative,non_informative,0.9994112
donate to help katmandu,non_informative,support_and_relief,0.99477214
have lots of lots of support from fans back home at the dome for game amp so let s have a hope,non_informative,non_informative,0.9982874
suffolk county ny always looking to outdo everyone else li still getting hit with snow past am causing issues,non_informative,non_informative,0.9980337
it s about time to shop for some shorts,non_informative,non_informative,0.998936
bible says sometimes the bad things that happen to us happen for our own good he uses the bad and turns it to good,non_informative,non_informative,0.9972945
nope i voted obama and kerry i will never vote dems again you are liars,non_informative,non_informative,0.99916303
it s my th birthday,non_informative,non_informative,0.99930453
swayamsevak teams from uttarakhand harit pradesh rohilakand awadh purvanchal amp bihar will soon leave for nepal to he_,support_and_relief,support_and_relief,0.9953869
we ready helloween th st home,non_informative,non_informative,0.99802643
on the directives of political agent amir ali khan the health authorities have started taking urgent steps to arrest the measles epidemic which has so far killed over a dozen children and affected scores of others in last two weeks in the militancy plagued mohmand tribal region lack of safe drinking water poor sanitation and unhygienic practices contribute to high child and women mortality rates,support_and_relief,support_and_relief,0.99867564
is coming please be safe everyone,non_informative,non_informative,0.98166233
summertime before irma,non_informative,non_informative,0.99334973
puerto rico resigns following vacation,non_informative,non_informative,0.99783725
is that a shark in naples houston whatever someone is jumping it,non_informative,non_informative,0.9994221
got a big big big surprise for,non_informative,non_informative,0.9974624
thankful that my friend in is safe please consider helping w her group s rebuilding efforts,support_and_relief,non_informative,0.7693763
you re gonna watch porn with a lot of d s now aye,non_informative,non_informative,0.9995184
our thoughts are with you hope you come out the other side of okay listen to for updates,non_informative,non_informative,0.99646497
year old raises over for family affected by tornado,support_and_relief,support_and_relief,0.995018
yes indeed,non_informative,non_informative,0.9894761
do you know wherry cabs it s car rental e ert from suffolk,non_informative,non_informative,0.9989687
is there anyone who is from chile around me on twitter or watchdogs forum i m worried about people in chile,non_informative,non_informative,0.9582918
in tears this made me realize that you never know when your life will be taken away rest in peace http,non_informative,non_informative,0.99901676
half the tweets i tried to send never sent thanks to patchy cell serv in ks and ok,non_informative,non_informative,0.9832487
thaal look into it will you the idea being that if there s anything to i ll find it but if i don t find anythi,non_informative,non_informative,0.99918383
typhoon hagupit has made landfall in the philippines as more than half a million people have been evacuated,non_informative,non_informative,0.87795943
really prayer,non_informative,non_informative,0.99625695
fracking i thought _f,non_informative,non_informative,0.9980063
i mean obviously he ll win if he had a bomb,non_informative,non_informative,0.99948823
i need a cuddle buddy for nights st giles hotel makati,non_informative,non_informative,0.9992054
i vote for in the poll vote,non_informative,non_informative,0.9992447
my mama called me all calm talking about what y all doing tf,non_informative,non_informative,0.99939597
beyond devastated at the aftermath of the typhoon in philippines sending love prayers and strength to everyone,non_informative,non_informative,0.9985115
any gigs on the gold coast australia and if so may i please score two free tickets thankyou,non_informative,non_informative,0.99904937
