text,true,pred,prob
stay with for live cvg as typhoon hagupit slams into philippines huge storm surge e ected k evacuated,time_critical,time_critical,0.51533794
some houses estimated to be destroyed and damaged during the,time_critical,time_critical,0.9975044
if a tsunami wave is going to hit hawaii as a result of tuesday s magnitude quake in chile it should happen around a m eastern,time_critical,time_critical,0.9898273
factory collapse in bangladesh photos of destruction despair rescue,time_critical,time_critical,0.9986613
cr bridge is closed after black creek flooded during hurricane irma live at,time_critical,time_critical,0.9982845
in up continues year old hindu girl gang raped and killed,time_critical,time_critical,0.638794
floodwater in the area is passing through small bridges built over the waterway serving as stormwater drain,time_critical,time_critical,0.9966286
rohingya refugee hovels flattened by cyclone mora,time_critical,time_critical,0.98076147
a year old high river boy is missing due to the flood call police if you see eric st denis,time_critical,time_critical,0.9946128
nepal earthquake toll could reach government on war footing pm sushil koirala the death toll in ne,time_critical,time_critical,0.98120993
photos devastation in vanuatu from cyclone pam,time_critical,time_critical,0.99817705
marcos hiway near filinvest still not passable to light vehicles flood water about ft deep,time_critical,time_critical,0.9980629
odile might be weakening but dangerous amp deadly rains are still e ected possible in the sw united states h,time_critical,time_critical,0.99547344
the national weather service in northern indiana has issued an flood advisory for wabash county until pm,time_critical,time_critical,0.98117906
at least people dead after earthquake hits central philippines fox news via,time_critical,time_critical,0.99812585
the destruction in labach a village in district ppl were killed and injured,time_critical,time_critical,0.99790984
a cyclone set to hit the bangladesh coast later thursday has already killed three people and forced the evacuation,time_critical,time_critical,0.80153525
lax tsa agent dead shooter dead tsa agents injured at ucla hosp bomb squad en rte fluid situation,time_critical,time_critical,0.9985649
restoring carnarvon water supply the priority amid cyclone olwyn clean up residents in the western australian,time_critical,time_critical,0.8049304
hundreds are still missing in colorado with more rain and flooding e ected to hamper rescue efforts today,time_critical,time_critical,0.99071956
nsw premier barry o farrell says defence stopped aircraft flying over area because of those e loding ordinances,time_critical,time_critical,0.9690694
super typhoon ruby e ected rain and path,time_critical,time_critical,0.97665876
about removing the debris from the damaged areas of ajk and nwfp the chairman erra said it s very difficult and costly project,time_critical,time_critical,0.9069332
missing school children in mexico city amid the ruins of the huge earthquake,time_critical,time_critical,0.99291694
kids recovered alive from under earthquake rubble in awaran shukar allah,time_critical,time_critical,0.98153
it s a scary afternoon evening in these parts tornado just up the street and nasty storm after nasty storm rolling through,time_critical,time_critical,0.9867855
fall injures over in russia,time_critical,time_critical,0.995993
